Size,Quantity,Unit Price,Setup Fee,Production Cost,Materials Cost,Subtotal,Total
"4"" x 6""",50,$0.757,$30.0,$34.3,$3.56,$67.86,$67.86
"4"" x 6""",100,$0.668,$30.0,$59.72,$7.13,$96.84,$96.84
"4"" x 6""",150,$0.622,$30.0,$82.6,$10.69,$123.29,$123.29
"4"" x 6""",200,$0.591,$30.0,$103.97,$14.25,$148.23,$148.23
"4"" x 6""",250,$0.568,$30.0,$124.29,$17.82,$172.11,$172.11
"4"" x 6""",300,$0.551,$30.0,$143.81,$21.38,$195.19,$195.19
"4"" x 6""",350,$0.536,$30.0,$162.68,$24.94,$217.63,$217.63
"4"" x 6""",400,$0.524,$30.0,$181.03,$28.51,$239.53,$239.53
"4"" x 6""",450,$0.513,$30.0,$198.91,$32.07,$260.98,$260.98
"4"" x 6""",500,$0.504,$30.0,$216.4,$35.63,$282.04,$282.04
"4"" x 6""",550,$0.496,$30.0,$233.55,$39.2,$302.75,$302.75
"5"" x 7""",50,$0.828,$30.0,$34.3,$7.13,$71.42,$71.42
"5"" x 7""",100,$0.74,$30.0,$59.72,$14.25,$103.97,$103.97
"5"" x 7""",150,$0.693,$30.0,$82.6,$21.38,$133.98,$133.98
"5"" x 7""",200,$0.662,$30.0,$103.97,$28.51,$162.48,$162.48
"5"" x 7""",250,$0.64,$30.0,$124.29,$35.63,$189.93,$189.93
"5"" x 7""",300,$0.622,$30.0,$143.81,$42.76,$216.57,$216.57
"5"" x 7""",350,$0.607,$30.0,$162.68,$49.89,$242.57,$242.57
"5"" x 7""",400,$0.595,$30.0,$181.03,$57.01,$268.04,$268.04
"5"" x 7""",450,$0.585,$30.0,$198.91,$64.14,$293.05,$293.05
"5"" x 7""",500,$0.575,$30.0,$216.4,$71.27,$317.67,$317.67
"5"" x 7""",550,$0.567,$30.0,$233.55,$78.4,$341.95,$341.95
"6"" x 9""",50,$0.971,$30.0,$34.3,$14.25,$78.55,$78.55
"6"" x 9""",100,$0.882,$30.0,$59.72,$28.51,$118.22,$118.22
"6"" x 9""",150,$0.836,$30.0,$82.6,$42.76,$155.36,$155.36
"6"" x 9""",200,$0.805,$30.0,$103.97,$57.01,$190.99,$190.99
"6"" x 9""",250,$0.782,$30.0,$124.29,$71.27,$225.56,$225.56
"6"" x 9""",300,$0.764,$30.0,$143.81,$85.52,$259.33,$259.33
"6"" x 9""",350,$0.75,$30.0,$162.68,$99.78,$292.46,$292.46
"6"" x 9""",400,$0.738,$30.0,$181.03,$114.03,$325.06,$325.06
"6"" x 9""",450,$0.727,$30.0,$198.91,$128.28,$357.2,$357.2
"6"" x 9""",500,$0.718,$30.0,$216.4,$142.54,$388.94,$388.94
"6"" x 9""",550,$0.71,$30.0,$233.55,$156.79,$420.34,$420.34
